repo_id,repository,language,community,continuous_integration,documentation,history,management,license,unit_test,pull,releases,size
0,iqiyi/Qigsaw,Java,1.0,0.0,0.203220738413197,12.9166666666667,2.58333333333333,1.0,0.0141470749043193,0.918918918918919,1.0,40572.0
1,syncany/syncany,Java,3.0,1.0,0.273546032493525,33.2886597938144,4.84536082474227,1.0,0.320440660027902,0.987179487179487,0.0,98728.0
2,BlueMap-Minecraft/BlueMap,Java,2.0,0.0,0.212960989128118,20.9433962264151,8.37735849056604,1.0,0.00671082065002851,0.993243243243243,0.0,81224.0
3,AAkira/ExpandableLayout,Java,1.0,1.0,0.121847246891652,14.1666666666667,7.5,1.0,0.0152761457109283,0.980392156862745,1.0,9888.0
4,Tibolte/ElasticDownload,Java,1.0,0.0,0.141173582126197,2.60526315789474,0.526315789473684,1.0,0.0,0.976744186046512,1.0,6996.0
5,MineDojo/MineDojo,Java,4.0,0.0,0.0657654395493864,2.42857142857143,7.92857142857143,1.0,0.0,0.733333333333333,0.0,232204.0
6,JasonQS/Anti-recall,Java,3.0,0.0,0.152389151958674,2.36619718309859,0.605633802816901,1.0,0.0,1.0,0.0,11814.0
7,alexvasilkov/FoldableLayout,Java,1.0,0.0,0.0728910728910729,1.31111111111111,1.44444444444444,1.0,0.0,0.888888888888889,0.0,4528.0
8,jooby-project/jooby,Java,2.0,0.0,0.156536985015675,50.3389830508475,0.110169491525424,1.0,0.152395980400299,0.0,1.0,258820.0
9,KikiLetGo/VirusBroadcast,Java,4.0,0.0,0.328,24.0,5.0,0.0,0.0,1.0,0.0,1008.0
10,davidfantasy/mybatis-plus-generator-ui,Java,1.0,0.0,0.0523578773194658,3.91666666666667,2.69444444444444,1.0,0.0254001391788448,0.92,1.0,16036.0
11,newbiechen1024/NovelReader,Java,1.0,0.0,0.130221427922334,3.47058823529412,2.76470588235294,1.0,0.00401126975789122,0.863636363636364,0.0,57428.0
12,harism/android-pagecurl,Java,1.0,0.0,0.24746192893401,10.8461538461538,8.76923076923077,1.0,0.0,0.6875,0.0,3558.0
13,LSPosed/CorePatch,Java,8.0,0.0,0.0915675116399379,2.52631578947368,0.75,1.0,0.0,0.988235294117647,1.0,3512.0
14,neo4j-contrib/neo4j-apoc-procedures,Java,9.0,0.0,0.0224920793156351,24.6701030927835,1.23711340206186,1.0,0.499027429312435,0.0,0.0,1761090.0
15,INRIA/spoon,Java,14.0,0.0,0.204525095961704,22.6941747572816,1.51941747572816,1.0,0.2713079180998,0.0,1.0,392508.0
16,aosp-mirror/platform_frameworks_support,Java,43.0,0.0,0.297439004614644,370.991869918699,0.219512195121951,1.0,0.297280279803675,1.0,1.0,1117790.0
17,google/nomulus,Java,10.0,0.0,0.169328160546879,48.4742268041237,0.484536082474227,1.0,0.52644976047325,0.0,0.0,604656.0
18,spring-projects-experimental/spring-fu,Java,2.0,0.0,0.100971253503683,18.0652173913043,5.82608695652174,1.0,0.219140337986774,0.994623655913978,1.0,55168.0
19,JeffLi1993/java-core-learning-example,Java,2.0,0.0,0.479744408945687,2.61842105263158,0.0789473684210526,1.0,0.0217785843920145,0.714285714285714,0.0,8142.0
