repo_id,repository,language,community,continuous_integration,documentation,history,management,license,unit_test,pull,releases,size
36,galenframework/galen,Java,1.0,1.0,0.130945850638665,22.8676470588235,7.97058823529412,1.0,0.321808026227916,0.967741935483871,0.0,155260.0
37,apache/httpcomponents-client,Java,4.0,0.0,0.304816085070862,16.6301369863014,2.52511415525114,1.0,0.403116000690085,0.995402298850575,1.0,153238.0
38,bootique/bootique,Java,2.0,0.0,0.284022831265626,15.09,2.6,1.0,0.523753751555523,0.987341772151899,1.0,60712.0
39,pgjdbc/pgjdbc,Java,15.0,1.0,0.203911548048404,11.025078369906,3.79310344827586,1.0,0.459024170402524,0.0,1.0,228678.0
40,element-hq/riot-android,Java,20.0,1.0,0.155502136036748,128.84126984127,0.0,1.0,0.0,0.994117647058824,1.0,252238.0
41,JeasonWong/Particle,Java,1.0,0.0,0.0899315738025415,0.0,0.0,1.0,0.0440097799511002,1.0,0.0,1862.0
42,valarchie/AgileBoot-Back-End,Java,1.0,0.0,0.204832620186257,16.1111111111111,1.66666666666667,1.0,0.140848565048383,1.0,0.0,31592.0
43,luckybilly/Gloading,Java,1.0,0.0,0.116623472787856,9.0,8.5,1.0,0.0,1.0,1.0,4772.0
44,Helium314/HeliBoard,Java,7.0,0.0,0.162096849149549,26.843137254902,7.86274509803922,1.0,0.0,0.958024691358025,1.0,198330.0
45,murraco/spring-boot-jwt,Java,2.0,0.0,0.0673652694610778,0.571428571428571,0.233766233766234,1.0,0.0,1.0,0.0,2492.0
46,devnied/EMV-NFC-Paycard-Enrollment,Java,1.0,0.0,0.370584937394879,4.225,0.825,1.0,0.298618828385458,0.807692307692308,1.0,13472.0
47,Arronlong/httpclientutil,Java,4.0,0.0,0.354948034342521,1.58823529411765,1.29411764705882,1.0,0.282816229116945,0.555555555555556,0.0,5710.0
48,pytorch/android-demo-app,Java,2.0,0.0,0.0295575067373729,2.96969696969697,7.39393939393939,1.0,0.0,0.772727272727273,0.0,22326.0
49,wosyingjun/beauty_ssm,Java,1.0,0.0,0.192589401120207,25.0,29.0,0.0,0.111534795042898,0.0909090909090909,0.0,3748.0
50,pinguo-zhouwei/CustomPopwindow,Java,1.0,0.0,0.0884808013355593,3.14285714285714,6.0,1.0,0.0827586206896552,0.666666666666667,1.0,3276.0
51,pengyuantao/OnePush,Java,2.0,0.0,0.13886059618388,8.2,4.1,1.0,0.043627549989901,0.8,0.0,25364.0
52,eneim/toro,Java,1.0,0.0,0.242161277118297,14.6486486486486,9.27027027027027,1.0,0.0,0.996794871794872,0.0,37028.0
53,sqmax/springboot-project,Java,2.0,0.0,0.146835443037975,4.90909090909091,1.81818181818182,0.0,0.185879537295572,1.0,0.0,8088.0
54,rholder/guava-retrying,Java,2.0,1.0,0.297297297297297,2.34090909090909,1.36363636363636,1.0,0.51353226925746,0.661016949152542,1.0,3848.0
55,LSPosed/AndroidHiddenApiBypass,Java,2.0,0.0,0.176607281177382,2.81818181818182,0.727272727272727,1.0,0.223908918406072,1.0,1.0,2126.0
56,roomorama/Caldroid,Java,1.0,0.0,0.222748815165877,6.71428571428571,12.1428571428571,0.0,0.0,0.75,0.0,5904.0
57,transistorsoft/react-native-background-fetch,Java,2.0,0.0,0.111308046791918,3.67391304347826,4.23913043478261,1.0,0.0,1.0,1.0,10028.0
58,liukelin/canal_mysql_nosql_sync,Java,1.0,0.0,0.271317829457364,3.11904761904762,0.452380952380952,0.0,0.0,0.0,1.0,1692.0
59,mmin18/FlexLayout,Java,1.0,0.0,0.0312143129044537,3.25,0.875,1.0,0.0,1.0,0.0,5090.0
60,DSheirer/sdrtrunk,Java,3.0,0.0,0.305153360261773,12.5384615384615,10.8205128205128,1.0,0.000126697860553713,0.993607305936073,0.0,463774.0
61,jenkinsci/gitlab-plugin,Java,27.0,0.0,0.0564154427930701,15.5169491525424,7.56779661016949,1.0,0.297441123188406,0.987160120845921,0.0,42918.0
62,spotify/docker-client,Java,13.0,0.0,0.232512399521122,21.3333333333333,5.36781609195402,1.0,0.376427657456993,0.963302752293578,1.0,53850.0
63,kalessil/phpinspectionsea,Java,1.0,1.0,0.083900317244957,54.7128712871287,2.31683168316832,0.0,0.104974249853517,0.975,1.0,91828.0
64,dmytrodanylyk/android-morphing-button,Java,4.0,0.0,0.121170553269319,1.13592233009709,0.262135922330097,0.0,0.0,0.991935483870968,0.0,3844.0
65,mzule/FantasySlide,Java,1.0,0.0,0.0875968992248062,2.0,2.4,1.0,0.0,0.0,0.0,2354.0
66,jknack/handlebars.java,Java,3.0,0.0,0.222473604826546,7.90070921985816,5.07801418439716,1.0,0.59435261707989,0.978723404255319,1.0,68046.0
67,hongyangAndroid/Android-StickyNavLayout,Java,3.0,0.0,0.0977443609022556,0.571428571428571,1.32142857142857,1.0,0.0233545647558386,0.666666666666667,0.0,2400.0
68,Intel-bigdata/HiBench,Java,13.0,0.0,0.2122570131533,10.9857142857143,2.61428571428571,1.0,0.0,0.983703703703704,1.0,54140.0
69,ebean-orm/ebean,Java,1.0,1.0,0.172067109126937,53.0287769784173,0.294964028776978,1.0,0.313950846194398,0.0,1.0,554874.0
