repo_id,repository,language,community,continuous_integration,documentation,history,management,license,unit_test,pull,releases,size
0,jindrapetrik/jpexs-decompiler,Java,2.0,0.0,0.239331211074713,44.1006289308176,1.18867924528302,1.0,0.0407325248043833,0.997118155619596,1.0,822464.0
1,grantland/android-autofittextview,Java,1.0,0.0,0.20708446866485,0.983870967741935,1.33870967741935,1.0,0.0,0.655172413793103,1.0,2328.0
2,ongakuer/CircleIndicator,Java,2.0,0.0,0.0532687651331719,1.51282051282051,1.82051282051282,1.0,0.0,0.78125,1.0,6256.0
3,osmandapp/OsmAnd,Java,82.0,0.0,0.045151491664784,540.215568862275,0.0,1.0,0.00541219658969362,0.0,0.0,2316092.0
4,ikarus23/MifareClassicTool,Java,1.0,0.0,0.251706289221749,8.93893129770992,0.0,1.0,0.0,0.0,0.0,32672.0
5,981011512/--,Java,1.0,0.0,0.125853576364084,0.0,0.0,0.0,0.0,0.769230769230769,0.0,560438.0
6,ChadCSong/ShineButton,Java,1.0,1.0,0.0603621730382294,1.66666666666667,0.693333333333333,1.0,0.0180541624874624,0.8,0.0,3736.0
7,killme2008/aviatorscript,Java,1.0,1.0,0.213427745236153,5.25974025974026,3.37012987012987,1.0,0.233252058035391,0.977011494252874,1.0,84868.0
8,bjmashibing/InternetArchitect,Java,1.0,0.0,0.0952591024057408,21.7142857142857,0.428571428571429,1.0,0.051878003334314,0.4,0.0,246104.0
9,brianway/java-learning,Java,1.0,0.0,0.297360791762471,1.22535211267606,0.112676056338028,1.0,0.0181047425593924,0.888888888888889,0.0,28114.0
10,tonikelope/megabasterd,Java,2.0,0.0,0.0383984012561559,10.0116279069767,7.31395348837209,1.0,0.0,0.806451612903226,1.0,53892.0
11,Freeyourgadget/Gadgetbridge,Java,36.0,0.0,0.107461424308669,96.8727272727273,3.45454545454545,1.0,0.0343257709964379,0.962662337662338,0.0,671214.0
12,dunwu/db-tutorial,Java,1.0,0.0,0.110162629057291,2.8625,0.05,1.0,0.22604643557881,0.774193548387097,0.0,105492.0
13,hugeterry/CoordinatorTabLayout,Java,1.0,0.0,0.0954891622729936,6.33333333333333,3.08333333333333,1.0,0.0690265486725664,0.0,0.0,3088.0
14,Jacksgong/JKeyboardPanelSwitch,Java,1.0,1.0,0.217581047381546,5.0,2.76923076923077,1.0,0.0,0.916666666666667,1.0,7530.0
15,oracle/opengrok,Java,11.0,0.0,0.291729298827309,36.0576923076923,2.45673076923077,1.0,0.324855843607895,0.0,0.0,261036.0
16,yhaolpz/FloatWindow,Java,1.0,0.0,0.0849212924606462,7.4,27.4,1.0,0.0343347639484979,0.6875,1.0,4418.0
17,bingoogolapple/BGABanner-Android,Java,1.0,0.0,0.116934421912036,1.92207792207792,0.0,1.0,0.0,0.0,1.0,6706.0
18,eirslett/frontend-maven-plugin,Java,28.0,1.0,0.023982869379015,6.77049180327869,0.0,1.0,0.0788056779246207,1.0,1.0,31906.0
19,baoyachi/StepView,Java,1.0,0.0,0.146763586015922,11.7777777777778,7.33333333333333,1.0,0.0174188440221694,0.571428571428571,1.0,4930.0
20,pedrovgs/AndroidWiFiADB,Java,4.0,1.0,0.189453125,4.41860465116279,1.44186046511628,1.0,0.288870703764321,1.0,1.0,3320.0
21,AlmasB/FXGL,Java,1.0,0.0,0.161529122619999,48.0277777777778,9.14814814814815,1.0,0.0310192837465565,0.985037406483791,1.0,226528.0
22,will-che/flink-recommandSystem-demo,Java,2.0,0.0,0.0409347033476964,5.79166666666667,1.66666666666667,1.0,0.0458426966292135,0.8,0.0,23148.0
23,diffplug/spotless,Java,17.0,0.0,0.219202247558067,45.0416666666667,8.01666666666667,1.0,0.372545157841427,0.973833902161547,0.0,95604.0
24,powermock/powermock,Java,5.0,1.0,0.341581271348829,9.79518072289157,5.8855421686747,1.0,0.514411177644711,0.934375,1.0,79030.0
25,apache/maven,Java,12.0,0.0,0.274756740193,49.1538461538462,0.315789473684211,1.0,0.216126172639864,0.900510204081633,1.0,288744.0
26,discord-jda/JDA,Java,7.0,0.0,0.469527134994378,26.5151515151515,0.0,1.0,0.0303933794354382,0.0,1.0,179268.0
27,alibaba/Tangram-Android,Java,2.0,0.0,0.313086974275214,7.07843137254902,3.88235294117647,1.0,0.0311431668473276,1.0,0.0,53832.0
28,dragonwell-project/dragonwell8,Java,30.0,0.0,0.331402293568178,467.574358974359,2.26666666666667,1.0,0.0280197591404053,0.983974358974359,0.0,11824922.0
29,failsafe-lib/failsafe,Java,1.0,0.0,0.359457115158937,7.14563106796117,2.92233009708738,1.0,0.502979017356014,0.969465648854962,1.0,25108.0
30,novicezk/midjourney-proxy,Java,3.0,0.0,0.0564276622825626,19.6363636363636,7.72727272727273,1.0,0.0,0.946308724832215,0.0,8896.0
31,ddd-by-examples/library,Java,3.0,0.0,0.00764624596959926,6.325,0.95,1.0,0.0930940066930332,0.971014492753623,0.0,21544.0
32,dromara/hmily,Java,4.0,0.0,0.361331029216734,7.48611111111111,2.59722222222222,1.0,0.0637328862810841,0.994011976047904,1.0,95352.0
33,ant-media/Ant-Media-Server,Java,7.0,1.0,0.280727925841813,60.1209677419355,0.0,1.0,0.290739457961728,0.975215517241379,1.0,193828.0
34,Manabu-GT/ExpandableTextView,Java,2.0,0.0,0.125102880658436,0.755102040816326,1.24489795918367,1.0,0.0,0.761904761904762,1.0,2126.0
35,rubensousa/ViewPagerCards,Java,1.0,0.0,0.064755838641189,6.66666666666667,5.0,1.0,0.0287539936102236,0.0,0.0,1762.0
36,jitsi/jitsi,Java,7.0,0.0,0.352561550290476,59.3632286995516,2.2780269058296,1.0,0.0677772860051341,0.983402489626556,0.0,731744.0
37,luckybilly/CC,Java,2.0,0.0,0.181456142142347,9.75,6.79166666666667,1.0,0.0,0.946428571428571,1.0,16032.0
38,h2database/h2database,Java,3.0,0.0,0.200170832850564,69.3913043478261,1.63768115942029,1.0,0.322718896871571,0.0,1.0,593670.0
39,code4craft/tiny-spring,Java,1.0,0.0,0.270145106514356,0.959183673469388,0.0612244897959184,1.0,0.160226687274601,1.0,0.0,4728.0
40,makovkastar/FloatingActionButton,Java,1.0,0.0,0.0263157894736842,12.84,7.12,1.0,0.0,0.885714285714286,0.0,3330.0
41,BoltsFramework/Bolts-Android,Java,3.0,1.0,0.17902321857486,3.28333333333333,0.966666666666667,1.0,0.512987012987013,0.964071856287425,1.0,10254.0
42,jboss-javassist/javassist,Java,5.0,0.0,0.195803686786891,4.10887096774194,1.49193548387097,1.0,0.103234572021071,0.956284153005464,1.0,176772.0
43,jacoco/jacoco,Java,3.0,0.0,0.241314266177806,10.5337078651685,4.91573033707865,1.0,0.545839492871639,0.951664025356577,1.0,128708.0
44,microsoft/malmo,Java,6.0,1.0,0.224102603020414,23.2894736842105,9.30263157894737,1.0,0.0168169631976603,0.988095238095238,1.0,102240.0
45,oldmanpushcart/greys-anatomy,Java,2.0,0.0,0.240079893475366,7.77380952380952,0.785714285714286,1.0,0.00505154639175258,1.0,0.0,22828.0
46,lcodecorex/TwinklingRefreshLayout,Java,2.0,0.0,0.0881576051067576,2.95833333333333,8.04166666666667,1.0,0.0,0.2,1.0,16570.0
47,qstumn/BadgeView,Java,1.0,0.0,0.0440048445700444,1.22448979591837,2.08163265306122,1.0,0.0309877340219496,0.285714285714286,1.0,4736.0
48,rememberber/WePush,Java,2.0,1.0,0.0901988292777321,24.3670886075949,0.620253164556962,1.0,0.000522235166512674,0.987234042553191,0.0,75226.0
49,Piasy/BigImageViewer,Java,2.0,0.0,0.257347100873709,1.76712328767123,2.82191780821918,1.0,0.0,0.986301369863014,1.0,9350.0
50,qunarcorp/bistoury,Java,2.0,0.0,0.181062031286241,32.0714285714286,7.57142857142857,1.0,0.00405500246939253,0.782608695652174,1.0,254218.0
51,orhanobut/hawk,Java,1.0,1.0,0.113896848137536,7.59459459459459,4.72972972972973,1.0,0.157832744405183,0.951219512195122,1.0,4948.0
52,CeuiLiSA/Pixiv-Shaft,Java,3.0,0.0,0.0608430920408133,23.2666666666667,7.0,1.0,0.000531319910514541,1.0,1.0,124628.0
53,pqpo/SmartCropper,Java,2.0,0.0,0.357618938175132,1.15189873417722,1.68354430379747,1.0,0.0,1.0,1.0,111800.0
